feature,mean_abs_shap,importance_pct,domain
rolling_mean_3yr,0.08590584242196192,28.221135379362856,Model-specific permutation importance
rolling_max_3yr,0.06541779643174847,21.49055800246713,Model-specific permutation importance
lag_1,0.05885287967247782,19.33390137243726,Model-specific permutation importance
lag_2,0.01887971916370317,6.202222054073073,Model-specific permutation importance
spatial_lag_1,0.01058569389278965,3.4775318186803323,Model-specific permutation importance
rolling_min_3yr,0.008667751160244364,2.8474638282034923,Model-specific permutation importance
lag_3,0.008420042924781313,2.7660885986440333,Model-specific permutation importance
social_rented_pct,0.007303376101403069,2.3992496886498977,Model-specific permutation importance
owner_occupied_pct,0.004593563877800055,1.509042742778632,Model-specific permutation importance
imd_2019_score,0.004139894992345894,1.3600068836001713,Model-specific permutation importance
married_dependent_children_pct,0.003779681172736116,1.2416721733857927,Model-specific permutation importance
other_household_types_pct,0.0027025158485283864,0.8878099961067986,Model-specific permutation importance
pension_credit_rate,0.0022089565107794363,0.7256696282847275,Model-specific permutation importance
married_no_children_pct,0.002099834295146441,0.6898216261762294,Model-specific permutation importance
hosp_car_time,0.0017035418059218154,0.5596346252351422,Model-specific permutation importance
lad_mean_samhi_lag_1,0.001660764995201547,0.5455819120272981,Model-specific permutation importance
cohabiting_household_pct,0.001644440488547616,0.5402191089944264,Model-specific permutation importance
occupancy_balanced_pct,0.001354578660302952,0.4449959010544853,Model-specific permutation importance
pensioner_couple_household_pct,0.0012054879087947667,0.39601773887715025,Model-specific permutation importance
hosp_pt_time,0.0011066392138000202,0.363544715798956,Model-specific permutation importance
no_car_pct,0.0010350749257976633,0.3400349590338456,Model-specific permutation importance
pct_social_grade_de,0.000892909259026664,0.2933317731371892,Model-specific permutation importance
qof_mh002_pct,0.0008221662027689369,0.2700918011921751,Model-specific permutation importance
private_rented_pct,0.0007003830505634579,0.23008452428969353,Model-specific permutation importance
other_households_dependent_children_pct,0.00069920529223233,0.22969761606122088,Model-specific permutation importance
one_person_aged_66_plus_pct,0.0005674019518979723,0.1863985830017742,Model-specific permutation importance
one_person_other_pct,0.0005628447684897675,0.1849014916947614,Model-specific permutation importance
underoccupied_2plus_bedrooms_pct,0.0005446036919101061,0.1789090716554889,Model-specific permutation importance
lone_parent_dependent_children_pct,0.000491257390448041,0.16138414956515668,Model-specific permutation importance
acceleration,0.000483967568439414,0.15898935256419822,Model-specific permutation importance
one_person_household_pct,0.0004366312869685474,0.1434387966289778,Model-specific permutation importance
delta_1,0.00042458395038458274,0.13948109704637177,Model-specific permutation importance
pct_disability_limited,0.00039102501349660426,0.12845656979185507,Model-specific permutation importance
gas_grid_disconnection_pct,0.0003702893588786949,0.12164464990778757,Model-specific permutation importance
rolling_std_3yr,0.0003613703427412962,0.11871464241623772,Model-specific permutation importance
gp_pt_time,0.00034132651163581995,0.11212999514195504,Model-specific permutation importance
fuel_poverty_pct,0.00030700635664796525,0.10085539829444946,Model-specific permutation importance
lone_parent_pct,0.0003023340967808874,0.09932050294252799,Model-specific permutation importance
underoccupied_1_bedroom_pct,0.00029524807850577205,0.09699265799735642,Model-specific permutation importance
pct_aged_65_plus,0.0002901060125596544,0.09530342551789123,Model-specific permutation importance
one_person_household_pct,0.00023171887120354562,0.07612252496247693,Model-specific permutation importance
lone_parent_pct,0.00019676090364709742,0.06463839877054652,Model-specific permutation importance
overcrowded_1_bedroom_pct,0.0001751577182958819,0.05754148427400396,Model-specific permutation importance
gp_car_time,0.00017161294705604347,0.056376982928950194,Model-specific permutation importance
imd_2025_decile,0.0001653521179893147,0.054320222879833534,Model-specific permutation importance
cohabiting_dependent_children_pct,0.00015690448774384745,0.05154507150396875,Model-specific permutation importance
pct_no_qualifications,0.00015559644893534675,0.051115364521819154,Model-specific permutation importance
delta_2,0.00012215462275823042,0.04012930958923584,Model-specific permutation importance
spatial_delta_1,9.911948659889758e-05,0.03256198148084637,Model-specific permutation importance
rent_free_pct,8.667923440148772e-05,0.02847520424290189,Model-specific permutation importance
decile_lag_1,6.779865013077924e-05,0.022272697990441064,Model-specific permutation importance
qof_mh021_pct,6.0670724115785556e-05,0.019931085832618923,Model-specific permutation importance
shared_ownership_pct,4.3856690841392876e-05,0.014407467229602485,Model-specific permutation importance
overcrowded_bedrooms_pct,3.751668413224385e-05,0.012324696342308074,Model-specific permutation importance
avg_download_speed,2.4045343535505914e-05,0.007899193768750219,Model-specific permutation importance
is_rural,1.9191468953527747e-05,0.006304635729034931,Model-specific permutation importance
unemployment_rate,1.9136096428840066e-05,0.006286445167468321,Model-specific permutation importance
overcrowded_2plus_bedrooms_pct,1.6493684534957255e-05,0.005418380066389223,Model-specific permutation importance
isolation_normalized,0.0,0.0,Model-specific permutation importance
isolation_scale,0.0,0.0,Model-specific permutation importance
qof_dep_pca_pct,0.0,0.0,Model-specific permutation importance
qof_dep004_pct,0.0,0.0,Model-specific permutation importance
qof_mh_pca_pct,0.0,0.0,Model-specific permutation importance
