feature,mean_abs_shap,importance_pct,domain
imd_2019_score,0.19298531933071592,23.093537688035557,3_Deprivation_Economics
overcrowded_1_bedroom_pct,0.12229652768099965,14.63458195116469,6_Housing
overcrowded_bedrooms_pct,0.11689608018604264,13.98833881624869,6_Housing
pct_disability_limited,0.11328606080677497,13.556346792820268,4_Demographics_Vulnerability
cohabiting_dependent_children_pct,0.051128388900031484,6.118265265390515,4_Demographics_Vulnerability
one_person_other_pct,0.049967051847104524,5.979294171147222,4_Demographics_Vulnerability
pct_social_grade_de,0.041512699790692664,4.967606346810248,3_Deprivation_Economics
other_household_types_pct,0.02749706853789731,3.290429504133581,4_Demographics_Vulnerability
overcrowded_2plus_bedrooms_pct,0.021092645872832445,2.5240459434631997,6_Housing
hosp_car_time,0.01937106706396144,2.318033666241975,2_Geography_Accessibility
one_person_household_pct,0.01847413397558079,2.2107024031593756,4_Demographics_Vulnerability
one_person_household_pct,0.018462445980736264,2.209303762317804,4_Demographics_Vulnerability
gas_grid_disconnection_pct,0.015994724924672136,1.9140045685272353,3_Deprivation_Economics
cohabiting_household_pct,0.012122806010033255,1.4506724057993576,4_Demographics_Vulnerability
underoccupied_1_bedroom_pct,0.007476052144253013,0.8946198215998026,6_Housing
imd_2025_decile,0.006080551393901137,0.727627589839904,3_Deprivation_Economics
other_households_dependent_children_pct,0.00069803340945865,0.08352998510325334,4_Demographics_Vulnerability
fuel_poverty_pct,0.0002627004765153431,0.03143598371167081,3_Deprivation_Economics
avg_download_speed,6.370577171651174e-05,0.007623334485663625,2_Geography_Accessibility
is_rural,1.8618087633260928e-18,2.2279285798991195e-16,2_Geography_Accessibility
gp_car_time,0.0,0.0,2_Geography_Accessibility
hosp_pt_time,0.0,0.0,2_Geography_Accessibility
isolation_scale,0.0,0.0,2_Geography_Accessibility
pct_aged_65_plus,0.0,0.0,4_Demographics_Vulnerability
pct_no_qualifications,0.0,0.0,4_Demographics_Vulnerability
unemployment_rate,0.0,0.0,3_Deprivation_Economics
pension_credit_rate,0.0,0.0,3_Deprivation_Economics
gp_pt_time,0.0,0.0,2_Geography_Accessibility
isolation_normalized,0.0,0.0,2_Geography_Accessibility
lone_parent_pct,0.0,0.0,4_Demographics_Vulnerability
qof_mh021_pct,0.0,0.0,5_Healthcare_Service
qof_mh002_pct,0.0,0.0,5_Healthcare_Service
qof_mh_pca_pct,0.0,0.0,5_Healthcare_Service
underoccupied_2plus_bedrooms_pct,0.0,0.0,6_Housing
rent_free_pct,0.0,0.0,6_Housing
private_rented_pct,0.0,0.0,6_Housing
social_rented_pct,0.0,0.0,6_Housing
owner_occupied_pct,0.0,0.0,6_Housing
shared_ownership_pct,0.0,0.0,6_Housing
qof_dep_pca_pct,0.0,0.0,5_Healthcare_Service
qof_dep004_pct,0.0,0.0,5_Healthcare_Service
no_car_pct,0.0,0.0,2_Geography_Accessibility
pensioner_couple_household_pct,0.0,0.0,4_Demographics_Vulnerability
occupancy_balanced_pct,0.0,0.0,6_Housing
one_person_aged_66_plus_pct,0.0,0.0,4_Demographics_Vulnerability
married_no_children_pct,0.0,0.0,4_Demographics_Vulnerability
married_dependent_children_pct,0.0,0.0,4_Demographics_Vulnerability
lone_parent_dependent_children_pct,0.0,0.0,4_Demographics_Vulnerability
lone_parent_pct,0.0,0.0,4_Demographics_Vulnerability
