feature,mean_abs_shap,importance_pct,domain
imd_2019_score,0.22488975094493663,36.10572379800836,Model-specific permutation importance
lone_parent_dependent_children_pct,0.08988437540839062,14.430806288928904,Model-specific permutation importance
pct_disability_limited,0.08838119056688488,14.189472139743744,Model-specific permutation importance
one_person_other_pct,0.037498691781053896,6.02036065469644,Model-specific permutation importance
imd_2025_decile,0.025105469573756256,4.030646778880052,Model-specific permutation importance
overcrowded_1_bedroom_pct,0.024723725358939165,3.969358298085531,Model-specific permutation importance
pct_social_grade_de,0.01874085793425915,3.0088175982628482,Model-specific permutation importance
overcrowded_bedrooms_pct,0.013087324278803691,2.101150958102806,Model-specific permutation importance
lone_parent_pct,0.010622260344547474,1.7053885137018654,Model-specific permutation importance
lone_parent_pct,0.009696884486592117,1.5568207599634492,Model-specific permutation importance
social_rented_pct,0.008265407396762903,1.3269991864529465,Model-specific permutation importance
underoccupied_2plus_bedrooms_pct,0.007886250960100327,1.266126169693157,Model-specific permutation importance
owner_occupied_pct,0.007012002396173877,1.1257668289615177,Model-specific permutation importance
pensioner_couple_household_pct,0.006393628510608129,1.0264877972478637,Model-specific permutation importance
cohabiting_dependent_children_pct,0.006323786437449408,1.0152747535571065,Model-specific permutation importance
hosp_car_time,0.004161490381005273,0.6681212534289033,Model-specific permutation importance
married_dependent_children_pct,0.0040645730865144,0.6525613221673205,Model-specific permutation importance
cohabiting_household_pct,0.003716869420996283,0.5967380022605541,Model-specific permutation importance
pct_no_qualifications,0.003562370554744232,0.5719334330502489,Model-specific permutation importance
avg_download_speed,0.0030679912441432533,0.4925615507612281,Model-specific permutation importance
pct_aged_65_plus,0.002917102616188838,0.46833660008076566,Model-specific permutation importance
other_household_types_pct,0.0029142004249570253,0.4678706574818498,Model-specific permutation importance
private_rented_pct,0.002824250478815038,0.45342932390661045,Model-specific permutation importance
fuel_poverty_pct,0.002219831681441109,0.35639076139047904,Model-specific permutation importance
pension_credit_rate,0.002162123963977225,0.3471258709318887,Model-specific permutation importance
underoccupied_1_bedroom_pct,0.001742715093894376,0.2797903842855726,Model-specific permutation importance
occupancy_balanced_pct,0.0016042122623249999,0.2575539552759181,Model-specific permutation importance
rent_free_pct,0.0014494375130935766,0.23270509345284626,Model-specific permutation importance
one_person_aged_66_plus_pct,0.001136090538408252,0.18239769049920992,Model-specific permutation importance
unemployment_rate,0.0009367257757205039,0.15038996659710213,Model-specific permutation importance
gp_pt_time,0.0008758669229296135,0.14061916592566756,Model-specific permutation importance
gas_grid_disconnection_pct,0.000855899286807349,0.137413390866109,Model-specific permutation importance
shared_ownership_pct,0.0007594263747725538,0.1219248045642338,Model-specific permutation importance
qof_mh002_pct,0.0006121432601821963,0.09827871383237162,Model-specific permutation importance
qof_mh021_pct,0.0005312427425589461,0.0852902528991912,Model-specific permutation importance
married_no_children_pct,0.0005055118820183723,0.08115920050636563,Model-specific permutation importance
overcrowded_2plus_bedrooms_pct,0.0003925644338133694,0.06302565128304781,Model-specific permutation importance
hosp_pt_time,0.00037559264477351475,0.06030085513357325,Model-specific permutation importance
gp_car_time,0.00037387144459096746,0.060024518937143605,Model-specific permutation importance
one_person_household_pct,0.00028606157013322253,0.045926770771263885,Model-specific permutation importance
one_person_household_pct,0.0002386104565646696,0.03830856321304758,Model-specific permutation importance
other_households_dependent_children_pct,6.61589413350483e-05,0.0106217222108835,Model-specific permutation importance
isolation_scale,0.0,0.0,Model-specific permutation importance
isolation_normalized,0.0,0.0,Model-specific permutation importance
is_rural,0.0,0.0,Model-specific permutation importance
no_car_pct,0.0,0.0,Model-specific permutation importance
qof_mh_pca_pct,0.0,0.0,Model-specific permutation importance
qof_dep_pca_pct,0.0,0.0,Model-specific permutation importance
qof_dep004_pct,0.0,0.0,Model-specific permutation importance
