feature,mean_abs_shap,importance_pct,domain
rolling_max_3yr,0.26993936,25.091711,1_Temporal_History
lag_1,0.24578914,22.846872,1_Temporal_History
rolling_mean_3yr,0.22192413,20.628544,1_Temporal_History
spatial_lag_1,0.04273084,3.971966,2_Geography_Accessibility
lad_mean_samhi_lag_1,0.029169638,2.7114093,2_Geography_Accessibility
lag_2,0.02275671,2.1153078,1_Temporal_History
rolling_min_3yr,0.022541426,2.0952961,1_Temporal_History
lag_3,0.014183042,1.3183583,1_Temporal_History
pct_disability_limited,0.011365881,1.0564942,4_Demographics_Vulnerability
other_household_types_pct,0.011347934,1.054826,4_Demographics_Vulnerability
gas_grid_disconnection_pct,0.011317295,1.0519781,3_Deprivation_Economics
imd_2019_score,0.011216316,1.0425918,3_Deprivation_Economics
delta_1,0.0094990395,0.8829655,1_Temporal_History
spatial_delta_1,0.009421649,0.8757719,2_Geography_Accessibility
rolling_std_3yr,0.008113476,0.7541731,1_Temporal_History
one_person_household_pct,0.0067441626,0.6268911,4_Demographics_Vulnerability
delta_2,0.0067105503,0.6237667,1_Temporal_History
pension_credit_rate,0.0062028826,0.57657737,3_Deprivation_Economics
qof_mh002_pct,0.006038968,0.56134105,5_Other
social_rented_pct,0.0058401,0.54285556,6_Housing
no_car_pct,0.0054614483,0.5076588,2_Geography_Accessibility
lone_parent_pct,0.0050415793,0.4686306,4_Demographics_Vulnerability
underoccupied_2plus_bedrooms_pct,0.0049727997,0.46223733,6_Housing
one_person_other_pct,0.004844946,0.4503529,4_Demographics_Vulnerability
one_person_aged_66_plus_pct,0.004795829,0.44578734,4_Demographics_Vulnerability
other_households_dependent_children_pct,0.0047188145,0.4386286,4_Demographics_Vulnerability
married_dependent_children_pct,0.0046019987,0.42777026,4_Demographics_Vulnerability
overcrowded_1_bedroom_pct,0.0039888555,0.37077662,6_Housing
qof_mh021_pct,0.00391512,0.3639227,5_Other
acceleration,0.00379143,0.3524253,1_Temporal_History
pct_no_qualifications,0.0034160323,0.31753093,4_Demographics_Vulnerability
private_rented_pct,0.0033912745,0.3152296,6_Housing
decile_lag_1,0.0033441857,0.31085253,1_Temporal_History
overcrowded_bedrooms_pct,0.0031421082,0.2920688,6_Housing
pct_social_grade_de,0.0030392085,0.28250396,3_Deprivation_Economics
hosp_pt_time,0.0025852895,0.24031077,2_Geography_Accessibility
hosp_car_time,0.0025167356,0.23393847,2_Geography_Accessibility
married_no_children_pct,0.00251167,0.23346762,4_Demographics_Vulnerability
shared_ownership_pct,0.002485187,0.23100592,6_Housing
occupancy_balanced_pct,0.0024025398,0.22332361,6_Housing
unemployment_rate,0.002357092,0.2190991,3_Deprivation_Economics
gp_pt_time,0.002253937,0.2095105,2_Geography_Accessibility
pct_aged_65_plus,0.0021744096,0.20211819,4_Demographics_Vulnerability
overcrowded_2plus_bedrooms_pct,0.0021380356,0.19873711,6_Housing
lone_parent_dependent_children_pct,0.00200959,0.18679768,4_Demographics_Vulnerability
cohabiting_dependent_children_pct,0.0019810037,0.1841405,4_Demographics_Vulnerability
fuel_poverty_pct,0.0016823605,0.15638068,3_Deprivation_Economics
imd_2025_decile,0.0016507821,0.15344538,3_Deprivation_Economics
avg_download_speed,0.0016319994,0.15169947,2_Geography_Accessibility
one_person_household_pct,0.0016242592,0.15097998,4_Demographics_Vulnerability
underoccupied_1_bedroom_pct,0.0015926238,0.14803939,6_Housing
cohabiting_household_pct,0.001580993,0.14695826,4_Demographics_Vulnerability
owner_occupied_pct,0.0012732062,0.11834852,6_Housing
rent_free_pct,0.001109864,0.103165336,6_Housing
gp_car_time,0.001017688,0.094597295,2_Geography_Accessibility
pensioner_couple_household_pct,0.00093338377,0.08676095,4_Demographics_Vulnerability
lone_parent_pct,0.00080958474,0.07525344,4_Demographics_Vulnerability
is_rural,0.00017070513,0.015867578,2_Geography_Accessibility
isolation_normalized,0.0,0.0,2_Geography_Accessibility
isolation_scale,0.0,0.0,2_Geography_Accessibility
qof_dep_pca_pct,0.0,0.0,5_Other
qof_dep004_pct,0.0,0.0,5_Other
qof_mh_pca_pct,0.0,0.0,5_Other
