feature,mean_abs_shap,importance_pct,domain
imd_2019_score,0.20250736193534444,16.39760123087466,3_Deprivation_Economics
pct_disability_limited,0.19573820306339537,15.849483044998053,4_Demographics_Vulnerability
gas_grid_disconnection_pct,0.15519342337779282,12.566456082795838,3_Deprivation_Economics
overcrowded_bedrooms_pct,0.13167589782998307,10.66217466712556,6_Housing
pct_social_grade_de,0.0837335286975287,6.780143695094153,3_Deprivation_Economics
overcrowded_1_bedroom_pct,0.07589754848247318,6.145641928879214,6_Housing
cohabiting_household_pct,0.061186278957774266,4.9544282912093385,4_Demographics_Vulnerability
cohabiting_dependent_children_pct,0.05691434945867565,4.608517921615001,4_Demographics_Vulnerability
overcrowded_2plus_bedrooms_pct,0.05424654999229925,4.392498556217572,6_Housing
one_person_other_pct,0.044312092006641504,3.588077033282005,4_Demographics_Vulnerability
other_household_types_pct,0.04351313849809121,3.5233834788847145,4_Demographics_Vulnerability
underoccupied_1_bedroom_pct,0.0137739735117207,1.115318094370998,6_Housing
hosp_car_time,0.013596813028498765,1.1009729025222696,2_Geography_Accessibility
one_person_household_pct,0.012763175978054198,1.0334709223777803,4_Demographics_Vulnerability
one_person_household_pct,0.012694792206177124,1.027933692465806,4_Demographics_Vulnerability
other_households_dependent_children_pct,0.0077950399437600746,0.6311867151640989,4_Demographics_Vulnerability
fuel_poverty_pct,0.007219947206306316,0.5846198087098553,3_Deprivation_Economics
avg_download_speed,0.007046810956247478,0.5706004705488049,2_Geography_Accessibility
imd_2025_decile,0.005775974642001981,0.4676972135434352,3_Deprivation_Economics
is_rural,0.005573652035756119,0.45131457251001855,2_Geography_Accessibility
hosp_pt_time,0.005426831367696124,0.43942608241123854,2_Geography_Accessibility
shared_ownership_pct,0.005397408496342247,0.4370436282282531,6_Housing
pct_no_qualifications,0.005088113888806798,0.411999157801319,4_Demographics_Vulnerability
lone_parent_pct,0.004716551248293382,0.38191266636119503,4_Demographics_Vulnerability
lone_parent_dependent_children_pct,0.004604505628896348,0.37284001157481983,4_Demographics_Vulnerability
married_no_children_pct,0.004123060752062405,0.33385604067359853,4_Demographics_Vulnerability
lone_parent_pct,0.0031323614023483206,0.2536362762114796,4_Demographics_Vulnerability
gp_pt_time,0.002036123458179326,0.16487074941361338,2_Geography_Accessibility
private_rented_pct,0.0018227721634973134,0.14759508388297732,6_Housing
pension_credit_rate,0.0013585384022658802,0.11000474631780502,3_Deprivation_Economics
one_person_aged_66_plus_pct,0.0011780734765354476,0.0953919842927294,4_Demographics_Vulnerability
occupancy_balanced_pct,0.001041597311879402,0.08434111826908565,6_Housing
unemployment_rate,0.0008463979610446788,0.06853526763272544,3_Deprivation_Economics
pensioner_couple_household_pct,0.0007043169236411976,0.05703055900610713,4_Demographics_Vulnerability
pct_aged_65_plus,0.0006926105301938277,0.056082658792667085,4_Demographics_Vulnerability
married_dependent_children_pct,0.00068175641103055,0.05520376966957117,4_Demographics_Vulnerability
underoccupied_2plus_bedrooms_pct,0.00035387386705574414,0.028654180779167412,6_Housing
social_rented_pct,0.00034222581341342763,0.02771100450687207,6_Housing
gp_car_time,0.00012653564221800837,0.010245953444625817,2_Geography_Accessibility
owner_occupied_pct,8.782778127442724e-05,0.007111667055296228,6_Housing
no_car_pct,3.8065550833002063e-05,0.003082276699611755,2_Geography_Accessibility
qof_mh021_pct,2.352385322805789e-05,0.001904793786067256,5_Other
isolation_normalized,0.0,0.0,2_Geography_Accessibility
isolation_scale,0.0,0.0,2_Geography_Accessibility
rent_free_pct,0.0,0.0,6_Housing
qof_mh002_pct,0.0,0.0,5_Other
qof_mh_pca_pct,0.0,0.0,5_Other
qof_dep_pca_pct,0.0,0.0,5_Other
qof_dep004_pct,0.0,0.0,5_Other
