feature,mean_abs_shap,importance_pct,domain
lag_2,0.0384613896404145,13.485689679248772,Model-specific permutation importance
lag_1,0.03682503745567649,12.911936677195262,Model-specific permutation importance
rolling_mean_3yr,0.03325482423156796,11.660115355105379,Model-specific permutation importance
rolling_max_3yr,0.03275864274858163,11.486139594824687,Model-specific permutation importance
rolling_min_3yr,0.0299860660093348,10.513992985797918,Model-specific permutation importance
lag_3,0.02623269315418415,9.197950532618055,Model-specific permutation importance
decile_lag_1,0.012658824402618608,4.438554591860985,Model-specific permutation importance
pct_disability_limited,0.009122580503347254,3.198643909965088,Model-specific permutation importance
spatial_lag_1,0.008706980070433412,3.0529222259272273,Model-specific permutation importance
imd_2019_score,0.005339497053127862,1.8721840519792938,Model-specific permutation importance
imd_2025_decile,0.004262877908393537,1.494689847418128,Model-specific permutation importance
delta_2,0.004036671074084586,1.4153751060804858,Model-specific permutation importance
underoccupied_2plus_bedrooms_pct,0.003961663763004664,1.3890753459741627,Model-specific permutation importance
pension_credit_rate,0.003639530863126861,1.276126116530207,Model-specific permutation importance
qof_mh002_pct,0.0035665484190031795,1.25053633408379,Model-specific permutation importance
rolling_std_3yr,0.0033672023659452764,1.1806397693612012,Model-specific permutation importance
hosp_car_time,0.0023010925404263528,0.8068304399177599,Model-specific permutation importance
one_person_other_pct,0.002012831347203725,0.7057576228741054,Model-specific permutation importance
married_no_children_pct,0.0017280566753070103,0.6059072823218342,Model-specific permutation importance
overcrowded_1_bedroom_pct,0.0013954884745967177,0.4892991307730803,Model-specific permutation importance
overcrowded_bedrooms_pct,0.0013614660082982178,0.4773698576263255,Model-specific permutation importance
one_person_household_pct,0.001360599609597979,0.4770660728666182,Model-specific permutation importance
pct_social_grade_de,0.0013160684841637682,0.461452156045411,Model-specific permutation importance
occupancy_balanced_pct,0.0012341939917096978,0.43274456102077924,Model-specific permutation importance
acceleration,0.0012152980793798452,0.4261191007275058,Model-specific permutation importance
delta_1,0.001145648766742957,0.40169801180233894,Model-specific permutation importance
one_person_household_pct,0.001143957258798245,0.4011049195754164,Model-specific permutation importance
no_car_pct,0.0010840124555185349,0.3800865158601139,Model-specific permutation importance
lone_parent_dependent_children_pct,0.0009279765945314322,0.32537577296237524,Model-specific permutation importance
gas_grid_disconnection_pct,0.0008903533550097209,0.31218396326279263,Model-specific permutation importance
qof_mh021_pct,0.000861906830716741,0.30220977869341253,Model-specific permutation importance
spatial_delta_1,0.0007839332346243899,0.2748699521840862,Model-specific permutation importance
is_rural,0.000736091709415887,0.2580953122458067,Model-specific permutation importance
overcrowded_2plus_bedrooms_pct,0.000612325611829323,0.2146992935249908,Model-specific permutation importance
other_household_types_pct,0.0005818973076463952,0.20403023888309696,Model-specific permutation importance
lone_parent_pct,0.0005618282601454582,0.1969934430396272,Model-specific permutation importance
fuel_poverty_pct,0.0005258083524385282,0.18436380843327851,Model-specific permutation importance
lone_parent_pct,0.0005193309717711703,0.18209264905939654,Model-specific permutation importance
unemployment_rate,0.00051535669595133,0.18069915155690927,Model-specific permutation importance
owner_occupied_pct,0.0004566262668380228,0.16010654299138466,Model-specific permutation importance
other_households_dependent_children_pct,0.0004511862414333434,0.15819911075504006,Model-specific permutation importance
pct_no_qualifications,0.000322333642747108,0.11301961577336521,Model-specific permutation importance
underoccupied_1_bedroom_pct,0.0002919047762912852,0.10235036398212632,Model-specific permutation importance
hosp_pt_time,0.0002775809505247806,0.09732801114691486,Model-specific permutation importance
pct_aged_65_plus,0.0002619005068391411,0.09182998833613035,Model-specific permutation importance
one_person_aged_66_plus_pct,0.000258943829097058,0.09079329052349133,Model-specific permutation importance
lad_mean_samhi_lag_1,0.0002456467995811229,0.0861309625269156,Model-specific permutation importance
private_rented_pct,0.0002422691671235544,0.08494666566195093,Model-specific permutation importance
cohabiting_household_pct,0.00023159085264784496,0.08120253585636715,Model-specific permutation importance
married_dependent_children_pct,0.00021435283312706276,0.07515838133892792,Model-specific permutation importance
gp_pt_time,0.0001948930402086879,0.06833520799617665,Model-specific permutation importance
avg_download_speed,0.00018506577420728253,0.06488948071150445,Model-specific permutation importance
cohabiting_dependent_children_pct,0.00017344871379236791,0.060816199085299144,Model-specific permutation importance
rent_free_pct,0.000134578578780431,0.0471871913073099,Model-specific permutation importance
shared_ownership_pct,0.00013326585865883756,0.04672691318524973,Model-specific permutation importance
social_rented_pct,5.3810340716275995e-05,0.0188674814721677,Model-specific permutation importance
pensioner_couple_household_pct,4.600209497070962e-05,0.016129681823000164,Model-specific permutation importance
gp_car_time,2.9550344602446987e-05,0.010361216298974301,Model-specific permutation importance
isolation_normalized,0.0,0.0,Model-specific permutation importance
isolation_scale,0.0,0.0,Model-specific permutation importance
qof_dep_pca_pct,0.0,0.0,Model-specific permutation importance
qof_dep004_pct,0.0,0.0,Model-specific permutation importance
qof_mh_pca_pct,0.0,0.0,Model-specific permutation importance
