feature,mean_abs_shap,importance_pct,domain
lag_1,0.07993052267194832,10.505620306017079,1_Temporal_History
rolling_mean_3yr,0.0740499754192758,9.732714104943897,1_Temporal_History
lag_2,0.06884712448339451,9.048880512794035,1_Temporal_History
lag_3,0.0681647691546373,8.959195549427386,1_Temporal_History
delta_1,0.042690018102816876,5.6109369243820275,1_Temporal_History
delta_2,0.04114467315158551,5.4078254375963315,1_Temporal_History
imd_2019_score,0.02966672466983343,3.899228163233315,3_Deprivation_Economics
spatial_lag_1,0.02636075128306315,3.464709534026417,2_Geography_Accessibility
overcrowded_1_bedroom_pct,0.02562517946839905,3.3680300937532075,6_Housing
pensioner_couple_household_pct,0.020675506939875285,2.717472853721004,4_Demographics_Vulnerability
overcrowded_bedrooms_pct,0.020426452991580746,2.6847385974064877,6_Housing
pct_aged_65_plus,0.018529586317837812,2.4354250638610035,4_Demographics_Vulnerability
imd_2025_decile,0.01840427360529835,2.418954662649444,3_Deprivation_Economics
pct_disability_limited,0.015189845863383634,1.9964682803661549,4_Demographics_Vulnerability
lad_mean_samhi_lag_1,0.012540937478729346,1.648310595612651,2_Geography_Accessibility
rolling_max_3yr,0.011747812174526341,1.54406664696179,1_Temporal_History
one_person_other_pct,0.011491465338639373,1.5103738543407492,4_Demographics_Vulnerability
lone_parent_dependent_children_pct,0.010590530074093807,1.391959968215387,4_Demographics_Vulnerability
cohabiting_dependent_children_pct,0.010526172465936647,1.3835011645881734,4_Demographics_Vulnerability
occupancy_balanced_pct,0.010039211997749294,1.319497807525027,6_Housing
rolling_std_3yr,0.009980060729956197,1.3117232961208634,1_Temporal_History
pct_social_grade_de,0.009726730125974609,1.2784269401312063,3_Deprivation_Economics
lone_parent_pct,0.009619353216298738,1.264313920411343,4_Demographics_Vulnerability
lone_parent_pct,0.00961935321627036,1.264313920407613,4_Demographics_Vulnerability
spatial_delta_1,0.008258151288346166,1.0854051614435147,2_Geography_Accessibility
decile_lag_1,0.00672266257821107,0.8835891237946515,1_Temporal_History
other_household_types_pct,0.006362386479232684,0.8362364508147178,4_Demographics_Vulnerability
pct_no_qualifications,0.006095098605497382,0.8011056294463845,4_Demographics_Vulnerability
acceleration,0.00599249515867162,0.7876200069531594,1_Temporal_History
owner_occupied_pct,0.005850806795025477,0.7689972818603126,6_Housing
private_rented_pct,0.005515742682171259,0.7249583311547615,6_Housing
shared_ownership_pct,0.005307907557204372,0.6976416461617581,6_Housing
gas_grid_disconnection_pct,0.004740644300151967,0.6230837402087848,3_Deprivation_Economics
other_households_dependent_children_pct,0.0044005389399950304,0.5783821961876805,4_Demographics_Vulnerability
hosp_car_time,0.003886084937359524,0.5107652429146338,2_Geography_Accessibility
social_rented_pct,0.0035288210508830245,0.4638084782781964,6_Housing
one_person_household_pct,0.003481710566333324,0.45761653999771107,4_Demographics_Vulnerability
one_person_household_pct,0.0034817105658817436,0.4576165399383578,4_Demographics_Vulnerability
overcrowded_2plus_bedrooms_pct,0.003081677523290814,0.40503843692044816,6_Housing
unemployment_rate,0.003034917662957442,0.3988925827235357,3_Deprivation_Economics
fuel_poverty_pct,0.0030132105897744637,0.39603952657937364,3_Deprivation_Economics
one_person_aged_66_plus_pct,0.0029472730847317488,0.3873730701526104,4_Demographics_Vulnerability
pension_credit_rate,0.002770089371865615,0.36408503512471957,3_Deprivation_Economics
gp_pt_time,0.002322654159393935,0.3052766563397874,2_Geography_Accessibility
rolling_min_3yr,0.0022831926270545097,0.30009005350530965,1_Temporal_History
underoccupied_2plus_bedrooms_pct,0.002258741308707838,0.2968763091440228,6_Housing
married_no_children_pct,0.0019208589448974132,0.2524669433143958,4_Demographics_Vulnerability
hosp_pt_time,0.0019108317012746117,0.25114901856305355,2_Geography_Accessibility
underoccupied_1_bedroom_pct,0.0015608498644039824,0.20514936574887763,6_Housing
avg_download_speed,0.0010488395317835577,0.13785359477857903,2_Geography_Accessibility
married_dependent_children_pct,0.0009536835420980872,0.12534682434769248,4_Demographics_Vulnerability
cohabiting_household_pct,0.0007965093989120589,0.10468873510920602,4_Demographics_Vulnerability
rent_free_pct,0.0006851037704211967,0.0900462031482716,6_Housing
gp_car_time,0.0006026476711086701,0.07920863519131074,2_Geography_Accessibility
qof_mh021_pct,0.00023248028520967185,0.030555906847641756,5_Healthcare_Service
qof_mh002_pct,0.00020046909158808254,0.026348534813918814,5_Healthcare_Service
is_rural,5.64422024778833e-19,7.418447029323356e-17,2_Geography_Accessibility
no_car_pct,1.1045088421443333e-20,1.4517045719606177e-18,2_Geography_Accessibility
isolation_normalized,0.0,0.0,2_Geography_Accessibility
isolation_scale,0.0,0.0,2_Geography_Accessibility
qof_dep_pca_pct,0.0,0.0,5_Healthcare_Service
qof_dep004_pct,0.0,0.0,5_Healthcare_Service
qof_mh_pca_pct,0.0,0.0,5_Healthcare_Service
