feature,mean_abs_shap,importance_pct,domain
lag_1,0.08926988297120579,23.08691650125312,1_Temporal_History
spatial_lag_1,0.0838693469312794,21.690233538691096,2_Geography_Accessibility
rolling_mean_3yr,0.04488392630516258,11.607850535548767,1_Temporal_History
rolling_max_3yr,0.04384208796101748,11.338411010610217,1_Temporal_History
rolling_min_3yr,0.031022864717107416,8.02311220218077,1_Temporal_History
lag_2,0.025241493061651226,6.527937791396776,1_Temporal_History
pct_disability_limited,0.017085355276666662,4.4186029771527515,4_Demographics_Vulnerability
lad_mean_samhi_lag_1,0.012472600288124707,3.2256554150330965,2_Geography_Accessibility
decile_lag_1,0.012059222541204367,3.1187479428937595,1_Temporal_History
imd_2019_score,0.010324566337241131,2.6701323336160203,3_Deprivation_Economics
cohabiting_dependent_children_pct,0.005962265304628296,1.5419570034685877,4_Demographics_Vulnerability
overcrowded_2plus_bedrooms_pct,0.004584049956676669,1.185523886275324,6_Housing
pct_social_grade_de,0.0037460441656552374,0.9687993977810487,3_Deprivation_Economics
one_person_household_pct,0.0008931481152729153,0.2309853589391221,4_Demographics_Vulnerability
one_person_household_pct,0.0008852410596348039,0.22894044158052398,4_Demographics_Vulnerability
other_household_types_pct,0.0005266182865285667,0.13619366357901017,4_Demographics_Vulnerability
rolling_std_3yr,0.0,0.0,1_Temporal_History
delta_2,0.0,0.0,1_Temporal_History
imd_2025_decile,0.0,0.0,3_Deprivation_Economics
spatial_delta_1,0.0,0.0,2_Geography_Accessibility
unemployment_rate,0.0,0.0,3_Deprivation_Economics
pct_aged_65_plus,0.0,0.0,4_Demographics_Vulnerability
pct_no_qualifications,0.0,0.0,4_Demographics_Vulnerability
lone_parent_pct,0.0,0.0,4_Demographics_Vulnerability
is_rural,0.0,0.0,2_Geography_Accessibility
isolation_scale,0.0,0.0,2_Geography_Accessibility
isolation_normalized,0.0,0.0,2_Geography_Accessibility
pension_credit_rate,0.0,0.0,3_Deprivation_Economics
acceleration,0.0,0.0,1_Temporal_History
delta_1,0.0,0.0,1_Temporal_History
lag_3,0.0,0.0,1_Temporal_History
hosp_pt_time,0.0,0.0,2_Geography_Accessibility
gp_car_time,0.0,0.0,2_Geography_Accessibility
gp_pt_time,0.0,0.0,2_Geography_Accessibility
avg_download_speed,0.0,0.0,2_Geography_Accessibility
hosp_car_time,0.0,0.0,2_Geography_Accessibility
no_car_pct,0.0,0.0,2_Geography_Accessibility
qof_mh002_pct,0.0,0.0,5_Healthcare_Service
qof_mh021_pct,0.0,0.0,5_Healthcare_Service
gas_grid_disconnection_pct,0.0,0.0,3_Deprivation_Economics
owner_occupied_pct,0.0,0.0,6_Housing
shared_ownership_pct,0.0,0.0,6_Housing
social_rented_pct,0.0,0.0,6_Housing
qof_mh_pca_pct,0.0,0.0,5_Healthcare_Service
qof_dep_pca_pct,0.0,0.0,5_Healthcare_Service
qof_dep004_pct,0.0,0.0,5_Healthcare_Service
fuel_poverty_pct,0.0,0.0,3_Deprivation_Economics
underoccupied_1_bedroom_pct,0.0,0.0,6_Housing
underoccupied_2plus_bedrooms_pct,0.0,0.0,6_Housing
rent_free_pct,0.0,0.0,6_Housing
private_rented_pct,0.0,0.0,6_Housing
overcrowded_bedrooms_pct,0.0,0.0,6_Housing
one_person_aged_66_plus_pct,0.0,0.0,4_Demographics_Vulnerability
overcrowded_1_bedroom_pct,0.0,0.0,6_Housing
occupancy_balanced_pct,0.0,0.0,6_Housing
pensioner_couple_household_pct,0.0,0.0,4_Demographics_Vulnerability
one_person_other_pct,0.0,0.0,4_Demographics_Vulnerability
married_dependent_children_pct,0.0,0.0,4_Demographics_Vulnerability
married_no_children_pct,0.0,0.0,4_Demographics_Vulnerability
cohabiting_household_pct,0.0,0.0,4_Demographics_Vulnerability
lone_parent_pct,0.0,0.0,4_Demographics_Vulnerability
lone_parent_dependent_children_pct,0.0,0.0,4_Demographics_Vulnerability
other_households_dependent_children_pct,0.0,0.0,4_Demographics_Vulnerability
