feature,mean_abs_shap,importance_pct,domain
imd_2019_score,0.09233085891149533,28.05170873019975,Model-specific permutation importance
gas_grid_disconnection_pct,0.03869240975085664,11.755421981300756,Model-specific permutation importance
pension_credit_rate,0.030006542743816422,9.116505651232817,Model-specific permutation importance
one_person_household_pct,0.027755940301936843,8.432733780036434,Model-specific permutation importance
pct_disability_limited,0.02491763795581603,7.5704085331983935,Model-specific permutation importance
avg_download_speed,0.011510698460600443,3.497148887214796,Model-specific permutation importance
married_no_children_pct,0.008635022527485204,2.6234688995140556,Model-specific permutation importance
lone_parent_pct,0.008392769340157402,2.5498681994881194,Model-specific permutation importance
married_dependent_children_pct,0.007849262204565855,2.3847413498070855,Model-specific permutation importance
underoccupied_2plus_bedrooms_pct,0.007777080754159371,2.362811379194909,Model-specific permutation importance
private_rented_pct,0.005476049617118761,1.6637183999207046,Model-specific permutation importance
is_rural,0.005343836515884904,1.6235497775353798,Model-specific permutation importance
one_person_aged_66_plus_pct,0.0047722729499853015,1.4498989000234648,Model-specific permutation importance
cohabiting_dependent_children_pct,0.00412379182694309,1.2528791409194135,Model-specific permutation importance
pct_social_grade_de,0.0038201579755223316,1.1606299356039043,Model-specific permutation importance
imd_2025_decile,0.003754521107139941,1.140688321981635,Model-specific permutation importance
pct_no_qualifications,0.0036525634481844537,1.1097118252225837,Model-specific permutation importance
social_rented_pct,0.0033417978102495693,1.0152958600569142,Model-specific permutation importance
qof_mh021_pct,0.0030778142756032966,0.9350931054116427,Model-specific permutation importance
no_car_pct,0.0026201684290509952,0.7960523974574732,Model-specific permutation importance
lone_parent_dependent_children_pct,0.0022584167030014423,0.6861459786130834,Model-specific permutation importance
qof_mh002_pct,0.0021319669829740428,0.6477283709243684,Model-specific permutation importance
one_person_household_pct,0.00198744231190493,0.603819281103761,Model-specific permutation importance
other_households_dependent_children_pct,0.0018687278919821582,0.5677517911117058,Model-specific permutation importance
rent_free_pct,0.0018584508092914342,0.5646294359897557,Model-specific permutation importance
overcrowded_1_bedroom_pct,0.0018454460180121536,0.5606783559135581,Model-specific permutation importance
overcrowded_2plus_bedrooms_pct,0.0017790326407812306,0.5405008254991974,Model-specific permutation importance
owner_occupied_pct,0.0017757314970631155,0.539497881054092,Model-specific permutation importance
hosp_pt_time,0.0017155874214841217,0.5212250727007518,Model-specific permutation importance
other_household_types_pct,0.0013060489301084388,0.39680020966673346,Model-specific permutation importance
unemployment_rate,0.00117916690244535,0.3582512594559066,Model-specific permutation importance
shared_ownership_pct,0.0011776534033455023,0.35779143230371857,Model-specific permutation importance
overcrowded_bedrooms_pct,0.0011690573993652143,0.35517981791237174,Model-specific permutation importance
cohabiting_household_pct,0.0011333420704997764,0.34432888449370924,Model-specific permutation importance
gp_pt_time,0.001101322262278459,0.3346007140379113,Model-specific permutation importance
hosp_car_time,0.0009832099907011393,0.29871616710734317,Model-specific permutation importance
one_person_other_pct,0.0009645325366611779,0.29304163416432233,Model-specific permutation importance
occupancy_balanced_pct,0.0009641549794638715,0.2929269257704799,Model-specific permutation importance
fuel_poverty_pct,0.0008902715485100243,0.2704798640888398,Model-specific permutation importance
pensioner_couple_household_pct,0.000824451325045894,0.25048254402770725,Model-specific permutation importance
underoccupied_1_bedroom_pct,0.0007898666395153465,0.2399751195710754,Model-specific permutation importance
pct_aged_65_plus,0.000766480180347795,0.23286990958458856,Model-specific permutation importance
lone_parent_pct,0.0006721822296152479,0.20422056440369146,Model-specific permutation importance
gp_car_time,0.0001514821933253252,0.04602290518110606,Model-specific permutation importance
isolation_normalized,0.0,0.0,Model-specific permutation importance
isolation_scale,0.0,0.0,Model-specific permutation importance
qof_dep_pca_pct,0.0,0.0,Model-specific permutation importance
qof_dep004_pct,0.0,0.0,Model-specific permutation importance
qof_mh_pca_pct,0.0,0.0,Model-specific permutation importance
