feature,mean_abs_shap,importance_pct,domain
lag_1,0.10543636401036965,9.06657682406992,1_Temporal_History
rolling_mean_3yr,0.0963468677700169,8.284962086794382,1_Temporal_History
lag_2,0.09351009433639114,8.041025144261736,1_Temporal_History
lag_3,0.08069521063288064,6.9390606685333,1_Temporal_History
delta_1,0.048003534420703806,4.127871221065544,1_Temporal_History
spatial_lag_1,0.04660844109774319,4.007905771686756,2_Geography_Accessibility
rolling_min_3yr,0.04519721287523788,3.8865528663989597,1_Temporal_History
pct_disability_limited,0.03904248072952668,3.3573013851436393,4_Demographics_Vulnerability
rolling_max_3yr,0.037721095251056255,3.2436741459343637,1_Temporal_History
delta_2,0.032967424241354376,2.83490129218177,1_Temporal_History
occupancy_balanced_pct,0.03272771311988042,2.814288296667112,6_Housing
underoccupied_2plus_bedrooms_pct,0.02644476903459676,2.2740117444051475,6_Housing
pensioner_couple_household_pct,0.02560194909110605,2.2015368270629176,4_Demographics_Vulnerability
decile_lag_1,0.024114851988846497,2.0736598820540597,1_Temporal_History
married_no_children_pct,0.02307645560171957,1.984367153628817,4_Demographics_Vulnerability
qof_mh002_pct,0.023013055809439922,1.9789153430250586,5_Healthcare_Service
lad_mean_samhi_lag_1,0.01984885600566605,1.7068226843214513,2_Geography_Accessibility
lone_parent_dependent_children_pct,0.019513698552145894,1.6780021646741572,4_Demographics_Vulnerability
imd_2019_score,0.01940571900060541,1.6687168966486576,3_Deprivation_Economics
spatial_delta_1,0.018885539732932822,1.6239861689067745,2_Geography_Accessibility
hosp_pt_time,0.01842789046046906,1.5846324570615486,2_Geography_Accessibility
hosp_car_time,0.015685950004265887,1.3488502956931387,2_Geography_Accessibility
cohabiting_household_pct,0.01565373438825175,1.3460800431311462,4_Demographics_Vulnerability
one_person_other_pct,0.014839892603881582,1.276096986242874,4_Demographics_Vulnerability
pct_aged_65_plus,0.014657086322931712,1.260377294031262,4_Demographics_Vulnerability
cohabiting_dependent_children_pct,0.013117071515565917,1.1279499034223257,4_Demographics_Vulnerability
qof_mh021_pct,0.01285187117736394,1.105145065047578,5_Healthcare_Service
imd_2025_decile,0.012279173243142956,1.0558982054243646,3_Deprivation_Economics
pension_credit_rate,0.011775393458915246,1.0125776854217525,3_Deprivation_Economics
is_rural,0.01170598197157421,1.006608923236549,2_Geography_Accessibility
unemployment_rate,0.009897289268203942,0.8510776556311104,3_Deprivation_Economics
acceleration,0.009683930219936165,0.832730700855242,1_Temporal_History
one_person_household_pct,0.009539694959961717,0.8203277687400052,4_Demographics_Vulnerability
one_person_household_pct,0.009539694959958994,0.8203277687397709,4_Demographics_Vulnerability
pct_social_grade_de,0.009422305019264979,0.8102332920792269,3_Deprivation_Economics
gp_pt_time,0.008850633856287008,0.7610747255268427,2_Geography_Accessibility
no_car_pct,0.00868059527799176,0.7464529406460794,2_Geography_Accessibility
overcrowded_1_bedroom_pct,0.008589194969169465,0.7385933380368735,6_Housing
pct_no_qualifications,0.008555669753280409,0.7357104716913331,4_Demographics_Vulnerability
one_person_aged_66_plus_pct,0.007660860684324893,0.6587649582272899,4_Demographics_Vulnerability
social_rented_pct,0.007184311144668581,0.6177859937843945,6_Housing
gas_grid_disconnection_pct,0.007158574061501198,0.6155728366449696,3_Deprivation_Economics
overcrowded_2plus_bedrooms_pct,0.0064170454731281015,0.5518080627281872,6_Housing
overcrowded_bedrooms_pct,0.006412021560606833,0.5513760515405952,6_Housing
other_households_dependent_children_pct,0.005844520487913355,0.5025760751604209,4_Demographics_Vulnerability
lone_parent_pct,0.005583012127001993,0.4800887135504713,4_Demographics_Vulnerability
lone_parent_pct,0.0055830121270007,0.48008871355036,4_Demographics_Vulnerability
rolling_std_3yr,0.004876760686203676,0.4193574563110027,1_Temporal_History
avg_download_speed,0.0039134761724491495,0.336523671882195,2_Geography_Accessibility
married_dependent_children_pct,0.0037761643675512237,0.32471609449043,4_Demographics_Vulnerability
owner_occupied_pct,0.0035373910522850213,0.3041837418555651,6_Housing
private_rented_pct,0.0032775114520874004,0.28183643898415184,6_Housing
other_household_types_pct,0.002888313774799155,0.24836894725106815,4_Demographics_Vulnerability
fuel_poverty_pct,0.002112543033955131,0.1816596569056971,3_Deprivation_Economics
gp_car_time,0.0020083742716086694,0.1727020823976309,2_Geography_Accessibility
underoccupied_1_bedroom_pct,0.001838233230307547,0.15807148662203904,6_Housing
shared_ownership_pct,0.0004934667916158132,0.04243369560687856,6_Housing
rent_free_pct,0.0004326178409078698,0.037201234383127016,6_Housing
isolation_normalized,0.0,0.0,2_Geography_Accessibility
isolation_scale,0.0,0.0,2_Geography_Accessibility
qof_dep_pca_pct,0.0,0.0,5_Healthcare_Service
qof_dep004_pct,0.0,0.0,5_Healthcare_Service
qof_mh_pca_pct,0.0,0.0,5_Healthcare_Service
