feature,mean_abs_shap,importance_pct,domain
rolling_mean_3yr,0.21459773,24.706419,1_Temporal_History
rolling_max_3yr,0.17406002,20.039352,1_Temporal_History
lag_1,0.15537173,17.887789,1_Temporal_History
spatial_lag_1,0.03895225,4.484533,2_Geography_Accessibility
lad_mean_samhi_lag_1,0.024969285,2.8746884,2_Geography_Accessibility
lag_2,0.02024014,2.3302267,1_Temporal_History
gas_grid_disconnection_pct,0.018757783,2.1595645,3_Deprivation_Economics
imd_2019_score,0.014953402,1.7215699,3_Deprivation_Economics
rolling_min_3yr,0.01212964,1.3964732,1_Temporal_History
qof_mh002_pct,0.010976393,1.263701,5_Other
lag_3,0.010042824,1.1562201,1_Temporal_History
delta_1,0.009368566,1.0785935,1_Temporal_History
delta_2,0.008383105,0.9651383,1_Temporal_History
pension_credit_rate,0.007907205,0.91034853,3_Deprivation_Economics
no_car_pct,0.007491856,0.86252975,2_Geography_Accessibility
pct_disability_limited,0.0074410005,0.85667485,4_Demographics_Vulnerability
one_person_aged_66_plus_pct,0.007226957,0.8320322,4_Demographics_Vulnerability
one_person_household_pct,0.0069135255,0.7959472,4_Demographics_Vulnerability
married_dependent_children_pct,0.0068621594,0.7900334,4_Demographics_Vulnerability
rolling_std_3yr,0.0068163257,0.7847566,1_Temporal_History
underoccupied_2plus_bedrooms_pct,0.005772043,0.66452944,6_Housing
spatial_delta_1,0.0056147627,0.6464219,2_Geography_Accessibility
other_household_types_pct,0.0051041497,0.5876356,4_Demographics_Vulnerability
one_person_other_pct,0.0045811455,0.52742267,4_Demographics_Vulnerability
other_households_dependent_children_pct,0.004406144,0.50727487,4_Demographics_Vulnerability
underoccupied_1_bedroom_pct,0.0043837405,0.5046956,6_Housing
shared_ownership_pct,0.0039899396,0.45935768,6_Housing
hosp_car_time,0.0039591123,0.45580858,2_Geography_Accessibility
cohabiting_dependent_children_pct,0.003816851,0.43943018,4_Demographics_Vulnerability
social_rented_pct,0.0037647216,0.4334286,6_Housing
overcrowded_2plus_bedrooms_pct,0.0036877342,0.4245651,6_Housing
private_rented_pct,0.0035747117,0.41155294,6_Housing
qof_mh021_pct,0.0033830984,0.38949266,5_Other
decile_lag_1,0.0033777184,0.38887328,1_Temporal_History
acceleration,0.0031274406,0.36005905,1_Temporal_History
pct_social_grade_de,0.003058734,0.35214892,3_Deprivation_Economics
lone_parent_pct,0.0029586277,0.3406238,4_Demographics_Vulnerability
overcrowded_1_bedroom_pct,0.0029474169,0.33933312,6_Housing
hosp_pt_time,0.0029394238,0.33841288,2_Geography_Accessibility
overcrowded_bedrooms_pct,0.0024000013,0.27630973,6_Housing
occupancy_balanced_pct,0.002313604,0.26636288,6_Housing
owner_occupied_pct,0.0022305842,0.25680488,6_Housing
avg_download_speed,0.0022157754,0.25509995,2_Geography_Accessibility
cohabiting_household_pct,0.0022153195,0.25504747,4_Demographics_Vulnerability
unemployment_rate,0.002186678,0.25175,3_Deprivation_Economics
lone_parent_dependent_children_pct,0.0019977705,0.23000129,4_Demographics_Vulnerability
pct_aged_65_plus,0.0019716492,0.22699398,4_Demographics_Vulnerability
pct_no_qualifications,0.0019468804,0.22414236,4_Demographics_Vulnerability
married_no_children_pct,0.0018554915,0.21362086,4_Demographics_Vulnerability
one_person_household_pct,0.0016634905,0.19151598,4_Demographics_Vulnerability
fuel_poverty_pct,0.0015594364,0.17953633,3_Deprivation_Economics
gp_pt_time,0.0015249713,0.1755684,2_Geography_Accessibility
imd_2025_decile,0.0013658028,0.15724349,3_Deprivation_Economics
rent_free_pct,0.0008523578,0.09813108,6_Housing
pensioner_couple_household_pct,0.0008133142,0.093636036,4_Demographics_Vulnerability
gp_car_time,0.0007444348,0.08570602,2_Geography_Accessibility
is_rural,0.00042862442,0.04934709,2_Geography_Accessibility
lone_parent_pct,0.00039545997,0.045528904,4_Demographics_Vulnerability
isolation_normalized,0.0,0.0,2_Geography_Accessibility
isolation_scale,0.0,0.0,2_Geography_Accessibility
qof_dep_pca_pct,0.0,0.0,5_Other
qof_dep004_pct,0.0,0.0,5_Other
qof_mh_pca_pct,0.0,0.0,5_Other
