feature,mean_abs_shap,importance_pct,domain
no_car_pct,0.2046255145883116,25.65442377884219,2_Geography_Accessibility
imd_2019_score,0.16550430240677436,20.749697415336747,3_Deprivation_Economics
pct_disability_limited,0.06730673378354068,8.43841724785233,4_Demographics_Vulnerability
gas_grid_disconnection_pct,0.04458358174263949,5.589557596986285,3_Deprivation_Economics
qof_mh002_pct,0.02960945732331263,3.71221334525208,5_Other
imd_2025_decile,0.02492744623858513,3.1252176485204424,3_Deprivation_Economics
avg_download_speed,0.02024332285492601,2.537957127472793,2_Geography_Accessibility
pension_credit_rate,0.018955864769305244,2.376545216585417,3_Deprivation_Economics
pct_social_grade_de,0.017571116997881466,2.202935849120241,3_Deprivation_Economics
married_no_children_pct,0.01665287556319759,2.0878135734643104,4_Demographics_Vulnerability
qof_mh021_pct,0.013973482068190213,1.7518911625690334,5_Other
one_person_household_pct,0.01256707351918341,1.5755661280541635,4_Demographics_Vulnerability
one_person_household_pct,0.012352732648034085,1.5486936651911913,4_Demographics_Vulnerability
hosp_car_time,0.009629959442932486,1.2073326291645394,2_Geography_Accessibility
hosp_pt_time,0.009560536230006949,1.1986288635170161,2_Geography_Accessibility
social_rented_pct,0.009410995653635318,1.1798805792373719,6_Housing
other_household_types_pct,0.0069757726626927235,0.8745704485270668,4_Demographics_Vulnerability
overcrowded_bedrooms_pct,0.00644041739476266,0.8074515902393038,6_Housing
fuel_poverty_pct,0.006383104610733429,0.8002661400162984,3_Deprivation_Economics
one_person_other_pct,0.005750491175084373,0.7209537766534883,4_Demographics_Vulnerability
pct_no_qualifications,0.005585188115266018,0.70022930953583,4_Demographics_Vulnerability
underoccupied_1_bedroom_pct,0.005456507777081724,0.6840963266356946,6_Housing
other_households_dependent_children_pct,0.00545429087102913,0.6838183874575549,4_Demographics_Vulnerability
private_rented_pct,0.005393312337307352,0.6761733528260804,6_Housing
unemployment_rate,0.005147225893399712,0.6453208663659413,3_Deprivation_Economics
lone_parent_pct,0.005083955079076621,0.6373884426564997,4_Demographics_Vulnerability
pct_aged_65_plus,0.004825064852648359,0.604930713255777,4_Demographics_Vulnerability
occupancy_balanced_pct,0.004780460749697865,0.5993385828625105,6_Housing
gp_pt_time,0.004705648606442244,0.5899591932456072,2_Geography_Accessibility
shared_ownership_pct,0.0046604722896918345,0.5842953229456889,6_Housing
cohabiting_dependent_children_pct,0.004477019637178164,0.5612953950021615,4_Demographics_Vulnerability
married_dependent_children_pct,0.004430915575757168,0.5555152109816124,4_Demographics_Vulnerability
is_rural,0.0038121880770429425,0.4779437630242399,2_Geography_Accessibility
lone_parent_pct,0.0037692330539235426,0.47255838198438205,4_Demographics_Vulnerability
overcrowded_2plus_bedrooms_pct,0.003757832855999046,0.47112911003212266,6_Housing
lone_parent_dependent_children_pct,0.0035194114006028327,0.4412376027730755,4_Demographics_Vulnerability
underoccupied_2plus_bedrooms_pct,0.003140917736568682,0.39378488469793926,6_Housing
one_person_aged_66_plus_pct,0.0030156791821095716,0.3780834070204965,4_Demographics_Vulnerability
overcrowded_1_bedroom_pct,0.002998607582295882,0.375943096917505,6_Housing
owner_occupied_pct,0.00261205802123321,0.3274803904413417,6_Housing
cohabiting_household_pct,0.0021383489358535934,0.26809027162518795,4_Demographics_Vulnerability
rent_free_pct,0.0020152062527692325,0.2526515586989637,6_Housing
gp_car_time,0.001917482618805602,0.24039969693111238,2_Geography_Accessibility
pensioner_couple_household_pct,0.0019009180091522765,0.23832294948037303,4_Demographics_Vulnerability
isolation_normalized,0.0,0.0,2_Geography_Accessibility
isolation_scale,0.0,0.0,2_Geography_Accessibility
qof_dep_pca_pct,0.0,0.0,5_Other
qof_dep004_pct,0.0,0.0,5_Other
qof_mh_pca_pct,0.0,0.0,5_Other
